target_id	length	eff_length	est_counts	tpm
ENST00000399916	4340	4220.33	127.093	82.3987
ENST00000308873	3861	3741.33	4896.72	3581.17
ENST00000338888	2629	2509.33	0	0
ENST00000496967	572	452.335	9.18436	55.5566
ENST00000479341	284	164.387	0	0
ENST00000608763	2646	2526.33	6.45713	6.99351
ENST00000480426	2507	2387.33	34.0252	38.9973
ENST00000610073	2169	2049.33	0	0
ENST00000327773	2490	2370.33	66.1839	76.3993
ENST00000476291	537	417.335	2.33371	15.3006
ENST00000390603	437	317.335	1836	15830.8
ENST00000616439	6941	6821.33	69.6857	27.9525
ENST00000396324	6847	6727.33	658.985	268.027
ENST00000452625	6886	6766.33	32.4988	13.142
ENST00000573908	541	421.335	4.07893	26.489
ENST00000576790	6272	6152.33	0	0
ENST00000300036	6029	5909.33	0	0
ENST00000576164	5725	5605.33	28042.4	13688.6
ENST00000571275	4087	3967.33	622.72	429.478
ENST00000574119	549	429.335	6.73119	42.8985
ENST00000570785	3450	3330.33	13281.4	10912
ENST00000571910	979	859.335	15932	50728.8
ENST00000571505	2353	2233.33	54.4797	66.7463
ENST00000486659	622	502.335	28.235	153.794
ENST00000446157	721	601.335	234.765	1068.23
ENST00000427814	2919	2799.33	468.557	457.988
ENST00000283928	3125	3005.33	3104.36	2826.34
ENST00000466516	578	458.335	0	0
ENST00000430432	571	451.335	0	0
ENST00000447620	585	465.335	0	0
ENST00000452993	564	444.335	30.1698	185.784
ENST00000420835	562	442.335	9.27404	57.3673
ENST00000454041	503	383.335	1.64396	11.7344
ENST00000276480	6187	6067.33	423.095	190.803
ENST00000521824	3870	3750.33	0	0
ENST00000522251	3963	3843.33	0	0
ENST00000521582	3928	3808.33	1.31813	0.947044
ENST00000518053	725	605.335	0	0
ENST00000522861	567	447.335	23.5871	144.274
ENST00000518501	558	438.335	0	0
ENST00000517580	2579	2459.33	0	0
ENST00000520257	697	577.335	0	0
ENST00000521549	955	835.335	0	0
ENST00000518037	808	688.335	0	0
ENST00000517456	818	698.335	0	0
ENST00000519118	629	509.335	0	0
ENST00000518545	572	452.335	0	0
ENST00000521119	584	464.335	0	0
ENST00000518453	573	453.335	0	0
ENST00000520279	664	544.335	0	0
ENST00000519201	540	420.335	25982	169131
ENST00000524183	576	456.335	0	0
ENST00000522102	4739	4619.33	0	0
ENST00000520811	501	381.335	0	0
ENST00000524078	836	716.335	0	0
ENST00000520716	575	455.335	0	0
ENST00000523652	545	425.335	1	6.43303
ENST00000522684	4955	4835.33	0	0
ENST00000395218	4415	4295.33	0	0
ENST00000519654	4129	4009.33	0	0
ENST00000519465	3279	3159.33	0.00977962	0.0084698
ENST00000517887	4661	4541.33	0.147867	0.0890908
ENST00000521059	4405	4285.33	1.07061	0.683588
ENST00000517712	3351	3231.33	348.137	294.791
ENST00000523539	3236	3116.33	1.91278	1.67946
ENST00000340930	4414	4294.33	25.0688	15.9729
ENST00000519993	4388	4268.33	0	0
ENST00000519419	4439	4319.33	0.716456	0.453857
ENST00000524202	3014	2894.33	17.4912	16.5355
ENST00000430260	1940	1820.33	2.86784e-06	4.31072e-06
ENST00000521986	2393	2273.33	21.3434	25.6889
ENST00000523435	629	509.335	0	0
ENST00000522950	548	428.335	0	0
ENST00000523805	440	320.335	5.95298	50.8484
ENST00000520460	572	452.335	0	0
ENST00000521985	538	418.335	0	0
ENST00000518173	441	321.335	6.16698	52.5124
ENST00000522424	569	449.335	1.18359	7.20739
ENST00000521562	678	558.335	0	0
ENST00000521250	592	472.335	0	0
ENST00000523388	581	461.335	0	0
ENST00000521981	552	432.335	0	0
ENST00000521029	584	464.335	0	0
ENST00000518509	569	449.335	4.96423	30.2293
ENST00000520917	653	533.335	0	0
ENST00000520151	573	453.335	0	0
ENST00000523670	542	422.335	0	0
ENST00000519024	576	456.335	0	0
ENST00000523746	574	454.335	0	0
ENST00000510126	580	460.335	116361	691640
ENST00000523474	567	447.335	0	0
ENST00000519899	762	642.335	0	0
ENST00000519361	553	433.335	0	0
ENST00000520843	438	318.335	1.31146	11.2724
ENST00000521172	507	387.335	0	0
ENST00000524357	535	415.335	0	0
ENST00000521791	556	436.335	0	0
ENST00000523067	488	368.335	0	0
ENST00000520828	574	454.335	0	0
ENST00000520475	570	450.335	0	0
ENST00000519881	863	743.335	12.9258	47.5796
ENST00000520892	571	451.335	0	0
ENST00000523803	750	630.335	9.41028	40.8487
ENST00000521907	542	422.335	7.55525e-06	4.89484e-05
ENST00000517453	571	451.335	0	0
ENST00000520045	602	482.335	1.53572	8.71186
ENST00000521395	540	420.335	0	0
ENST00000523675	650	530.335	0	0
ENST00000521332	630	510.335	0	0
ENST00000524040	475	355.335	0	0
ENST00000523679	504	384.335	1.51453	10.7824
ENST00000524257	430	310.335	0	0
ENST00000523797	405	285.335	0	0
ENST00000519635	578	458.335	6301.14	37616.9
