target_id	length	eff_length	est_counts	tpm
ENST00000368069	4664	4516.94	6434.3	2568.73
ENST00000241704	4789	4641.94	9651.58	3749.39
ENST00000545284	879	731.938	14.0986	34.7347
ENST00000481522	578	430.938	8.99546	37.6418
ENST00000481040	578	430.938	2.03911	8.53272
ENST00000541366	616	468.938	17.7904	68.4118
ENST00000545266	574	426.938	52.2002	220.48
ENST00000523148	844	696.938	3.2008	8.28182
ENST00000318325	2134	1986.94	235.389	213.63
ENST00000370241	824	676.938	2.48229	6.61248
ENST00000370242	884	736.938	20.4898	50.1381
ENST00000476012	539	391.977	5.42524	24.9585
ENST00000448244	727	579.938	96.8403	301.117
ENST00000299179	747	599.938	552.774	1661.51
ENST00000342071	894	746.938	305.198	736.814
ENST00000370236	866	718.938	110.747	277.781
ENST00000493646	897	749.938	534.171	1284.45
ENST00000318364	1010	862.938	1602.79	3349.32
ENST00000477279	903	755.938	33.1661	79.1169
ENST00000370234	798	650.938	121.108	335.501
ENST00000487059	810	662.938	76.2228	207.335
ENST00000301886	2392	2244.94	8353.86	6710.33
ENST00000377244	1939	1791.94	43.8523	44.1297
ENST00000529673	573	425.938	1.13247	4.79449
ENST00000534637	704	556.938	0	0
ENST00000524831	627	479.938	0	0
ENST00000352068	771	623.938	3.34268	9.66084
ENST00000526702	4713	4565.94	7766.92	3067.47
ENST00000525648	312	168.676	0	0
ENST00000524482	2065	1917.94	112.016	105.319
ENST00000528529	752	604.938	1887.59	5626.74
ENST00000534078	518	371.052	4.64035	22.5516
ENST00000526319	1906	1758.94	9015.87	9243.11
ENST00000526171	501	354.088	0	0
ENST00000279242	2019	1871.94	3358.08	3234.9
ENST00000531705	489	342.088	0	0
ENST00000533943	688	540.938	6.50322	21.6792
ENST00000532671	2526	2378.94	55.6684	42.1975
ENST00000310614	1536	1388.94	1430.05	1856.64
ENST00000508278	1560	1412.94	18976.5	24218.9
ENST00000540162	1004	856.938	639.314	1345.32
ENST00000544140	996	848.938	19.6459	41.7308
ENST00000544819	742	594.938	0	0
ENST00000497094	531	383.977	1759.52	8263.24
ENST00000411840	1197	1049.94	7.01481	12.0479
ENST00000535277	598	450.938	19.4831	77.9117
ENST00000398483	1058	910.938	1.68238	3.3304
ENST00000542303	661	513.938	6.8122	23.9022
ENST00000537007	287	144.928	2.13312	26.5414
ENST00000543058	699	551.938	6.43589	21.0271
ENST00000543374	463	316.249	4.02678	22.9609
ENST00000314282	1922	1774.94	9289.89	9438.18
ENST00000556539	3278	3130.94	16444.4	9471.21
ENST00000314128	3259	3111.94	49.7872	28.8501
ENST00000557235	3073	2925.94	2.90189e-06	1.78845e-06
ENST00000555488	536	388.977	14.0965	65.3502
ENST00000557199	662	514.938	47.1692	165.183
ENST00000418572	1548	1400.94	633.194	815.04
ENST00000555519	588	440.938	51.0787	208.893
ENST00000557252	717	569.938	1742.97	5514.72
ENST00000556140	1454	1306.94	401.798	554.388
ENST00000557156	539	391.977	4.23687	19.4915
ENST00000557417	1063	915.938	15.3815	30.2826
ENST00000555646	603	455.938	29.1405	115.253
ENST00000542687	604	456.938	15	59.1964
ENST00000549982	15582	15434.9	87260.8	10194.7
ENST00000552217	920	772.938	0	0
ENST00000552326	567	419.938	3.41815	14.678
ENST00000393128	1983	1835.94	3.15885	3.10265
ENST00000547098	701	553.938	120.513	392.315
ENST00000358678	2105	1957.94	14.5546	13.4048
ENST00000551396	725	577.938	10.7845	33.6495
ENST00000549561	775	627.938	5.74635	16.502
ENST00000548545	692	544.938	126.52	418.671
ENST00000552938	999	851.938	17.3363	36.6952
ENST00000442352	665	517.938	1.29148	4.49646
ENST00000497722	448	301.309	118.382	708.493
ENST00000635251	2285	2137.94	596.763	503.347
ENST00000471658	1647	1499.94	587.395	706.184
ENST00000492741	1709	1561.94	522.158	602.836
ENST00000635562	422	275.566	11.0958	72.6099
ENST00000338910	2407	2259.94	2437.21	1944.73
ENST00000619300	2013	1865.94	2192.7	2119.06
ENST00000427943	866	718.938	0	0
ENST00000455130	225	88.8312	0	0
ENST00000380121	2807	2659.94	17.2811	11.7155
ENST00000357505	2917	2769.94	39.5545	25.7506
ENST00000399396	2872	2724.94	33.7719	22.3491
ENST00000503296	2315	2167.94	3.91092	3.25307
ENST00000504114	2513	2365.94	0	0
ENST00000509076	3060	2912.94	6740.24	4172.58
ENST00000446957	2071	1923.94	0	0
ENST00000505213	2343	2195.94	27.5909	22.6572
ENST00000473025	273	131.741	11.2146	153.506
ENST00000629393	4890	4742.94	466	177.174
ENST00000267068	9427	9279.94	38472.6	7475.98
ENST00000503814	5317	5169.94	39525.3	13786.4
ENST00000511143	816	668.938	44.4173	119.737
ENST00000475731	444	297.368	0	0
ENST00000512755	1273	1125.94	398.418	638.096
ENST00000483088	716	568.938	19.7054	62.4569
ENST00000605569	1105	957.938	1868	3516.42
ENST00000381346	2588	2440.94	3532.56	2609.72
ENST00000553384	1926	1778.94	58.2562	59.0531
ENST00000553578	4035	3887.94	231.224	107.244
ENST00000428130	1064	916.938	1.82492	3.58892
ENST00000554731	888	740.938	0	0
ENST00000554035	849	701.938	16.3015	41.8784
ENST00000553816	1163	1015.94	2042.58	3625.54
ENST00000557273	562	414.938	0	0
ENST00000557726	621	473.938	15.2976	58.2054
ENST00000557331	553	405.938	0	0
ENST00000556692	801	653.938	17.4483	48.1147
ENST00000440884	2643	2495.94	49.1502	35.5101
ENST00000559328	533	385.977	54.3714	254.021
ENST00000560603	572	424.938	0	0
ENST00000416682	2969	2821.94	298.861	190.978
ENST00000429436	3371	3223.94	0	0
ENST00000303622	3283	3135.94	23.7392	13.6508
ENST00000216288	2911	2763.94	187.389	122.258
ENST00000553942	2298	2150.94	1067.09	894.608
ENST00000560417	579	431.938	7.22806	30.176
ENST00000558223	908	760.938	242.942	575.723
